node_num 42
node_num x_coord y_coord
 1  20  60
 2  30  70
 3  30  60
 4  30  50
 5  40  80
 6  40  70
 7  40  60
 8  40  50
 9  40  40
10  50  90
11  50  80
12  50  70
13  50  60
14  50  50
15  50  40
16  50  30
17  60 100
18  60  90
19  60  80
20  60  70
21  60  60
22  60  50
23  60  40
24  60  30
25  60  20
26  70  90
27  70  80
28  70  70
29  70  60
30  70  50
31  70  40
32  70  30
33  80  80
34  80  70
35  80  60
36  80  50
37  80  40
38  90  70
39  90  60
40  90  50
41 100  60
