       1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31 
 1  -1.0  11.2  21.2  15.8  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 2  11.2  -1.0  -1.0  -1.0  10.0  -1.0  -1.0  -1.0  32.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 3  21.2  -1.0  -1.0  10.0  -1.0   5.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 4  15.8  -1.0  10.0  -1.0  15.0  -1.0  10.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 5  -1.0  10.0  -1.0  15.0  -1.0  -1.0  -1.0  10.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 6  -1.0  -1.0   5.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 7  -1.0  -1.0  -1.0  10.0  -1.0  11.2  -1.0  15.0  -1.0  -1.0   5.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 8  -1.0  -1.0  -1.0  -1.0  10.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0   7.1  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
 9  -1.0  32.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  31.6  -1.0  -1.0  -1.0  33.5  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
10  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
11  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0   5.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
12  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0   7.1  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
13  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0   7.1  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  29.2  -1.0  43.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
14  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  20.6  -1.0  10.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
15  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  31.6  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0   5.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
16  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
17  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  15.8  -1.0  -1.0  -1.0  22.4  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
18  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  20.6  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
19  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  33.5  -1.0  -1.0  -1.0  -1.0  -1.0   5.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
20  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  29.2  10.0  -1.0  -1.0  15.8  -1.0  -1.0  -1.0  15.8  -1.0  -1.0  -1.0  21.2  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
21  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  15.8  -1.0  45.3  -1.0  -1.0  10.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
22  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  43.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  45.3  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  20.6  -1.0  -1.0 
23  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0   7.1  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0 
24  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  22.4  -1.0  -1.0  -1.0  -1.0  -1.0   7.1  -1.0  -1.0  15.8  -1.0  -1.0  -1.0  -1.0  -1.0 
25  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  21.2  10.0  -1.0  -1.0  -1.0  -1.0  25.5  10.0  -1.0  -1.0  -1.0  -1.0 
26  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  15.8  25.5  -1.0  -1.0  11.2  -1.0  -1.0  -1.0 
27  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  10.0  -1.0  -1.0  -1.0  40.3  25.5  -1.0 
28  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  -1.0  11.2  -1.0  -1.0  -1.0  32.0  -1.0 
