        1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31 
 1   -1.0  -26.6 -135.0 -108.4   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 2  153.4   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0  -38.7   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 3   45.0   -1.0   -1.0   -0.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 4   71.6   -1.0 -180.0   -1.0   -0.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 5   -1.0   90.0   -1.0 -180.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 6   -1.0   -1.0   90.0   -1.0   -1.0   -1.0  -26.6   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 7   -1.0   -1.0   -1.0   90.0   -1.0  153.4   -1.0   -0.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 8   -1.0   -1.0   -1.0   -1.0   90.0   -1.0 -180.0   -1.0   -1.0   -1.0   -1.0  -45.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 9   -1.0  141.3   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -18.4   -1.0   -1.0   -1.0  -26.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
10   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
11   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0  -26.6   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
12   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  135.0   -1.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
13   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   45.0   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0   -1.0   -1.0 -116.6   -1.0 -149.0   -1.0  -35.5   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
14   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0   -1.0  153.4   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -14.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
15   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  161.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
16   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
17   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0   -1.0   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0  -18.4   -1.0   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
18   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4  166.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
19   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  153.4   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
20   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   31.0   90.0   -1.0   -1.0  161.6   -1.0   -1.0   -1.0  -18.4   -1.0   -1.0   -1.0  -45.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
21   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0  161.6   -1.0   -6.3   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
22   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  144.5   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0  173.7   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 -104.0   -1.0   -1.0 
23   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -45.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
24   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   63.4   -1.0   -1.0   -1.0   -1.0   -1.0  135.0   -1.0   -1.0  -18.4   -1.0   -1.0   -1.0   -1.0   -1.0 
25   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  135.0   90.0   -1.0   -1.0   -1.0   -1.0 -168.7  -90.0   -1.0   -1.0   -1.0   -1.0 
26   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  161.6   11.3   -1.0   -1.0 -116.6   -1.0   -1.0   -1.0 
