node_num, x, y
1,383,886
2,777,915
3,793,335
4,386,492
5,649,421
6,362,27
7,690,59
8,763,926
9,540,426
10,172,736
11,211,368
12,567,429
13,782,530
14,862,123
15,67,135
16,929,802
17,22,58
18,69,167
19,393,456
20,11,42
21,229,373
22,421,919
23,784,537
24,198,324
25,315,370
26,413,526
27,91,980
28,956,873
29,862,170
30,996,281
31,305,925
32,84,327
33,336,505
34,846,729
35,313,857
36,124,895
37,582,545
38,814,367
39,434,364
40,43,750
41,87,808
42,276,178
43,788,584
44,403,651
45,754,399
46,932,60
47,676,368
48,739,12
49,226,586
50,94,539
51,795,570
52,434,378
53,467,601
54,97,902
55,317,492
56,652,756
57,301,280
58,286,441
59,865,689
60,444,619
61,440,729
62,31,117
63,97,771
64,481,675
65,709,927
66,567,856
67,497,353
68,586,965
69,306,683
70,219,624
71,528,871
72,732,829
73,503,19
74,270,368
75,708,715
76,340,149
77,796,723
78,618,245
79,846,451
80,921,555
81,379,488
82,764,228
83,841,350
84,193,500
85,34,764
86,124,914
87,987,856
88,743,491
89,227,365
90,859,936
91,432,551
92,437,228
93,275,407
94,474,121
95,858,395
96,29,237
97,235,793
98,818,428
99,143,11
100,928,529
101,776,404
102,443,763
103,613,538
104,606,840
105,904,818
106,128,688
107,369,917
108,917,996
109,324,743
110,470,183
111,490,499
112,772,725
113,644,590
114,505,139
115,954,786
116,669,82
117,542,464
118,197,507
119,355,804
120,348,611
121,622,828
122,299,343
123,746,568
124,340,422
125,311,810
126,605,801
127,661,730
128,878,305
129,320,736
130,444,626
131,522,465
132,708,416
133,282,258
134,924,637
135,62,624
136,600,36
137,452,899
138,379,550
139,468,71
140,973,131
141,881,930
142,933,894
143,660,163
144,199,981
145,899,996
146,959,773
147,813,668
148,190,95
149,926,466
150,84,340
151,90,684
152,376,542
153,936,107
154,445,756
155,179,418
156,887,412
157,348,172
158,659,9
159,336,210
160,342,587
161,206,301
162,713,372
163,321,255
164,819,599
165,721,904
166,939,811
167,940,667
168,705,228
169,127,150
170,984,658
171,920,224
172,422,269
173,396,81
174,630,84
175,292,972
176,672,850
177,625,385
178,222,299
179,640,42
180,898,713
181,298,190
182,524,590
183,209,581
184,819,336
185,732,155
186,994,4
187,379,769
188,273,776
189,850,255
190,860,142
191,579,884
192,993,205
193,621,567
194,504,613
195,961,754
196,326,259
197,944,202
198,202,506
199,784,21
200,842,868
201,528,189
202,872,908
203,958,498
204,36,808
205,753,248
206,303,333
207,133,648
208,890,754
209,567,746
210,368,529
211,500,46
212,788,797
213,249,990
214,303,33
215,363,497
216,253,892
217,686,125
218,152,996
219,975,188
220,157,729
221,436,460
222,414,921
223,460,304
224,28,27
225,50,748
226,556,902
227,794,697
228,699,43
229,39,2
230,428,403
231,500,681
232,647,538
233,159,151
234,535,134
235,339,692
236,215,127
237,504,629
238,49,964
239,285,429
240,343,335
241,177,900
242,238,971
243,949,289
244,367,988
245,292,795
246,743,144
247,829,390
248,682,340
249,541,569
250,826,232
251,261,42
252,360,117
253,23,761
254,81,309
255,190,425
256,996,367
257,677,234
258,690,626
259,524,57
260,614,168
261,205,358
262,312,386
263,100,346
264,726,994
265,916,552
266,578,529
267,946,290
268,647,970
269,51,80
270,631,593
271,857,627
272,312,886
273,214,355
274,512,90
275,412,479
276,610,969
277,189,274
278,355,641
279,620,433
280,987,888
281,338,566
282,770,284
283,856,417
284,606,260
285,849,237
286,205,59
287,217,518
288,945,783
289,873,458
290,873,637
291,289,483
292,607,478
293,757,314
294,471,729
295,100,459
296,618,438
297,25,388
298,74,233
299,157,681
300,493,358
301,270,699
302,417,839
303,569,363
304,622,794
305,173,847
306,431,462
307,682,390
308,292,791
309,57,115
310,521,157
311,574,491
312,947,951
313,231,21
314,537,740
315,54,30
316,98,325
317,81,516
318,516,2
319,231,139
320,796,404
321,338,580
322,218,21
323,970,862
324,812,379
325,977,685
326,536,904
327,176,483
328,207,759
329,857,744
330,499,911
331,127,950
332,236,560
333,818,105
334,563,49
335,244,711
336,805,934
337,291,375
338,955,614
339,589,768
340,993,918
341,805,882
342,822,982
343,717,30
344,93,574
345,126,593
346,486,253
347,543,74
348,814,713
349,179,377
350,762,775
351,88,919
352,710,732
353,294,17
354,346,235
355,137,691
356,153,943
357,573,328
358,925,291
359,710,18
360,217,836
361,963,55
362,90,858
363,130,904
364,571,661
365,633,685
366,789,73
367,604,851
368,805,250
369,868,503
370,485,6
371,195,639
372,949,120
373,967,226
374,763,677
375,596,981
376,865,560
377,36,955
378,770,518
379,211,342
380,532,196
381,379,321
382,270,984
383,172,427
384,234,40
385,283,72
386,398,830
387,63,347
388,950,30
389,573,714
390,59,522
391,47,924
392,82,435
393,232,204
394,954,443
395,898,486
396,640,278
397,159,262
398,262,683
399,41,848
400,723,324
401,272,122
402,154,335
403,821,457
404,365,747
405,171,776
406,269,218
407,701,703
408,653,933
409,907,959
410,728,806
411,797,720
412,84,308
413,334,698
414,991,376
415,898,715
416,52,171
417,189,559
418,506,10
419,16,224
420,109,539
421,0,378
422,109,53
423,81,114
424,338,989
425,426,67
426,147,223
427,787,231
428,532,122
429,281,875
430,850,179
431,590,254
432,350,131
433,813,857
434,494,181
435,81,603
436,720,433
437,982,181
438,487,415
439,296,825
440,404,722
441,892,551
442,297,32
443,134,181
444,506,415
445,57,708
446,595,999
447,962,297
448,483,776
449,154,977
450,309,587
451,932,382
452,21,266
453,563,860
454,682,211
455,685,86
456,285,930
457,990,583
458,314,476
459,116,820
460,892,525
461,528,839
462,525,490
463,136,360
464,618,643
465,337,928
466,582,621
467,310,955
468,888,225
469,815,570
470,437,853
471,8,722
472,783,350
473,657,97
474,827,126
475,269,71
476,651,149
477,910,528
478,639,398
479,888,610
480,393,577
481,890,976
482,199,552
483,931,87
484,777,99
485,657,566
486,952,17
487,641,735
488,368,298
489,184,195
490,776,805
491,266,428
492,954,528
493,308,593
494,278,197
495,555,672
496,774,445
497,0,325
498,997,283
499,412,127
