        1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28 
 1   -1.0   -1.0    9.5   -1.0   -1.0   -1.0 -105.1   -1.0  -49.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 2   -1.0   -1.0 -164.9   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 3 -170.5   15.1   -1.0  -34.3   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 4   -1.0   -1.0  145.7   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 5   -1.0   -1.0   -1.0   90.0   -1.0   -0.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 6   -1.0   90.0   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0   -1.0  -71.6   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 7   74.9   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0  -11.3   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 8   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -0.0   -1.0 -153.4   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
 9  130.4   -1.0   -1.0   -1.0   90.0   -1.0  168.7 -180.0   -1.0   -0.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
10   -1.0   -1.0   -1.0   -1.0   -1.0  108.4   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
11   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   26.6   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
12   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
13   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0 -180.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
14   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0   -1.0   -1.0   -1.0  -97.1   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
15   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -1.0   -1.0 -180.0   -1.0   -0.0   -1.0   -1.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
16   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0 -180.0   -1.0  -26.6 -104.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
17   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0  153.4   -1.0   -1.0   -1.0  -78.7   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 
18   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   76.0   -1.0   -1.0  -11.3   -1.0   -1.0 -156.0   -1.0   -1.0   -1.0  -69.4   -1.0   -1.0 
19   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  168.7   -1.0  -63.4   -1.0   -1.0   -1.0   -1.0   -1.0 -105.9   -1.0   -1.0 
20   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  101.3   -1.0  116.6   -1.0   -1.0   -1.0  -31.0   -1.0   -1.0   -1.0   -1.0   -1.0 
21   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   82.9   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -0.0   -1.0  -90.0   -1.0   -1.0   -1.0   -1.0 
22   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   24.0   -1.0   -1.0 -180.0   -1.0   -1.0   -1.0  -90.0   -1.0   -1.0   -1.0 
23   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  149.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0 -143.1  -63.4 
24   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0   -1.0   -1.0   -0.0   -1.0   -1.0   -1.0 
25   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   90.0   -1.0 -180.0   -1.0   -0.0   -1.0   -1.0 
26   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0   -1.0  110.6   74.1   -1.0   -1.0   -1.0   -1.0   -1.0 -180.0   -1.0  -14.0   -1.0 
