node-num latitude lontitude x-coordinate y-coordinate
1 132.377282556 34.364460083 258806.2212097266 3805685.0660125255
2 132.376040667 34.365865778 258696.01753957683 3805843.9501865935
3 132.377735833 34.366024472 258852.4029223076 3805857.5211361344
4 132.3782365 34.366143361 258898.79768644195 3805869.5186405135
5 132.377860611 34.365661111 258862.83865285563 3805816.917833284
6 132.377976889 34.3653225 258872.56358182122 3805779.0802061595
7 132.379423694 34.365670167 259006.64547997827 3805814.20657835
8 132.378095417 34.364984222 258882.4965289017 3805741.2741843914
9 132.37740775 34.364484306 258817.8068756875 3805687.455241546
10 132.378696889 34.366252694 258941.45995706395 3805880.5520981355
11 132.378647889 34.366666667 258938.1394815366 3805926.5893967133
12 132.379184639 34.366364167 258986.64503836766 3805891.7580983113
13 132.381136861 34.366666667 259167.08583331 3805920.675281153
14 132.381289361 34.3666595 259181.09290821094 3805919.5180909517
15 132.380721611 34.365984639 259126.9356803361 3805846.006251819
16 132.38067625 34.365612556 259121.69730402666 3805804.839949631
17 132.380493 34.363546778 259098.9232564733 3805576.1247182987
18 132.380992917 34.362691444 259142.45980476064 3805480.0576943387
19 132.379308028 34.366005917 258996.96816664498 3805851.7252229406
20 132.379668778 34.364980167 259027.21236597863 3805737.084509478
21 132.378217417 34.364640861 258892.73437557154 3805702.8960823803
22 132.380241833 34.363976917 259077.05126682026 3805624.435412339
23 132.381513917 34.364466306 259195.46810604585 3805675.70045811
24 132.381747944 34.364069222 259215.8585211617 3805631.0974515243
25 132.382250611 34.363195389 259259.59592147148 3805532.9724524305
26 132.381023333 34.365345889 259152.86011523978 3805774.4349834295
27 132.381116556 34.365643444 259162.28750523756 3805807.2204557927
28 132.383032694 34.366152028 259339.99970332437 3805859.086990806
29 132.381290583 34.366666667 259181.22583872214 3805920.310202641
30 132.382732389 34.366666667 259313.84927517537 3805916.8870641757
31 132.383257167 34.361476139 259347.26747903397 3805339.872459048
32 132.383333333 34.361484444 259354.2977448091 3805340.6129747406
33 132.382815972 34.362236556 259308.85822747706 3805425.27014202
34 132.383333333 34.362447222 259357.05257807334 3805447.410915639
35 132.381628833 34.362946667 259201.6876123688 3805506.8586814785
36 132.378759389 34.362854194 258937.46706744394 3805503.417960632
37 132.378379389 34.363217167 258903.55201903026 3805544.5848182873
38 132.381324833 34.362126417 259171.3743058092 3805416.59273273
39 132.381634611 34.36177075 259198.85220195324 3805376.404109843
40 132.382182111 34.361986639 259249.8345177145 3805399.0521663777
41 132.380003 34.361318667 259047.4656908565 3805330.131200274
42 132.379385306 34.362047917 258992.73368658486 3805412.492427731
43 132.380359694 34.361536056 259080.9007504926 3805353.3981035915
44 132.380401667 34.361573583 259084.86933991656 3805357.461151598
45 132.381120722 34.362003389 259152.24596571916 3805403.430331036
46 132.381991444 34.361331472 259230.4195771861 3805326.829162514
47 132.375283056 34.363942667 258620.80841696158 3805632.428012921
48 132.375124861 34.364284778 258607.23849492654 3805670.7539651496
49 132.375 34.363863 258594.54213414463 3805624.2645534785
50 132.375440917 34.363590917 258634.32007668662 3805593.033656871
51 132.375 34.363467083 258593.40561658549 3805580.3466072567
52 132.375479222 34.363372833 258637.2177555769 3805568.751055208
53 132.375121611 34.36303375 258603.34850896223 3805531.9887302173
54 132.380771417 34.366344 259132.54645963 3805885.7507850993
55 132.379537444 34.365332056 259016.13987559493 3805776.430604523
56 132.375722833 34.363403722 258659.71569554627 3805571.597708219
57 132.375 34.364952694 258597.67026444618 3805745.141219768
58 132.375 34.362630167 258591.0032072715 3805487.509904237
59 132.375233444 34.362817583 258613.01538787104 3805507.743748386
60 132.37821 34.363138139 258887.74366590942 3805536.221192858
61 132.377227639 34.362711917 258796.15557174417 3805491.277678203
62 132.378336307 34.363197067 258899.5313618979 3805542.457608399
63 132.378927111 34.363442389 258954.58148008765 3805568.2660109717
64 132.379834139 34.363813694 259039.08093337005 3805607.298218041
65 132.383333333 34.364962889 259364.25107280735 3805726.466020887
66 132.383333333 34.364931556 259364.16141164617 3805722.9903482236
67 132.375255278 34.361569167 258611.44065514897 3805369.2085806937
68 132.375 34.361411889 258587.5061714198 3805352.3698210665
69 132.377727472 34.366666667 258853.4755242887 3805928.7778511513
70 132.381315972 34.366666667 259183.56122720442 3805920.2499076887
71 132.383333333 34.363634944 259360.45114590044 3805579.161206597
72 132.383333333 34.365636139 259366.17763336256 3805801.147561974
73 132.383333333 34.36627675 259368.0108256126 3805872.2085657455
74 132.376918806 34.365066 258774.49913038 3805753.1438465114
75 132.379594611 34.3664635 259024.64083277856 3805901.802485312
76 132.379534361 34.366666667 259019.68100861594 3805924.4823804065
77 132.378197222 34.366666667 258896.68517440686 3805927.6608411223
78 132.380927111 34.366337917 259146.85049107642 3805884.7062043385
79 132.377179222 34.364763333 258797.5856515539 3805718.9504322056
